id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
10194;Abel Paz;acceptée;oui;Q318488;Abel Paz;1921;2009;ES;es;biblio+metier+anarchisme;Q318488 {biblio+metier+anarchisme}
10195;Eric HOBSBAWM;acceptée;oui;Q34933;Eric Hobsbawm;1917;2012;GB;en;biblio+metier;Q34933 {biblio+metier}
10196;Giovanni Rossi;acceptée;oui;Q925403;Giovanni Rossi;1856;1943;IT;;biblio+metier+anarchisme;Q3107332 [naissance 1926 ≠ 1856, mort 1983 ≠ 1943] | Q925403 {biblio+metier+anarchisme} | Q3107324 [naissance 1984 ≠ 1856] | Q98921898 [naissance 1861 ≠ 1856, mort 1926 ≠ 1943] {biblio} | Q108451627 [mort 1466 ≠ 1943] | Q60820930 [naissance 1776 ≠ 1856, mort 1852 ≠ 1943] {biblio+metier} | Q16268716 [naissance 1974 ≠ 1856] {biblio+metier} | Q16560157 [naissance 1887 ≠ 1856, mort 1975 ≠ 1943] {biblio} | Q3768059 [naissance 1785 ≠ 1856, mort 1867 ≠ 1943] {biblio+metier}
10197;Elizabeth Gurley Flynn;acceptée;oui;Q463265;Elizabeth Gurley Flynn;1890;1964;US;en;biblio+metier;Q463265 {biblio+metier}
10198;Howard Fast;acceptée;oui;Q380202;Howard Fast;1914;2003;US;en;biblio+metier;Q380202 {biblio+metier}
10199;Marquis de Sade;acceptée;oui;Q123867;Marquis de Sade;1740;1814;FR;fr;biblio+metier;Q123867 {biblio+metier}
10200;Janusz Korczak;acceptée;oui;Q152441;Janusz Korczak;1878;1942;PL;;biblio+metier;Q152441 {biblio+metier}
10201;Camilo Berneri;acceptée;oui;Q969881;Camillo Berneri;1897;1937;IT;es;biblio+metier+anarchisme;Q969881 {biblio+metier+anarchisme}
10202;Manuel González Prada;déjà liée;oui;Q2475822;Manuel González Prada;1844;1918;PE;es;biblio+metier;Q2475822 {biblio+metier}
10203;Lewis Carroll;acceptée;oui;Q38082;Lewis Carroll;1832;1898;GB;en;biblio+metier;Q38082 {biblio+metier} | Q107061935 [naissance 1845 ≠ 1832, mort 1907 ≠ 1898] | Q140305560 [naissance 1906 ≠ 1832, mort 1954 ≠ 1898] {biblio}
10204;Jorge Amado;acceptée;oui;Q184440;Jorge Amado;1912;2001;BR;;biblio+metier;Q184440 {biblio+metier} | Q51769974 [naissance 1979 ≠ 1912] | Q106904935
10205;Léon Metchnikoff;acceptée;oui;Q4292405;Léon Metchnikoff;1838;1888;RU;ru;biblio+metier;Q4292405 {biblio+metier}
10206;Paul Singer;ambiguë;;;;;;;;;Q6511841 [naissance 1944 ≠ 1932] {biblio+metier} | Q90284 {biblio+metier} | Q67212 [naissance 1844 ≠ 1932, mort 1911 ≠ 2018] {biblio+metier} | Q110616352 | Q22665450 | Q111724411 | Q102290402 | Q104628105 [naissance 1911 ≠ 1932, mort 1985 ≠ 2018] | Q119170505
10207;Cipriano Mera;acceptée;oui;Q977325;Cipriano Mera;1897;1975;ES;es;biblio+metier;Q977325 {biblio+metier}
10208;Eugen Relgis;acceptée;oui;Q2904922;Eugen Relgis;1895;1987;RO;es;biblio+metier;Q2904922 {biblio+metier}
10209;Guillaume Apollinaire;acceptée;oui;Q133855;Guillaume Apollinaire;1880;1918;FR;fr;biblio+metier;Q133855 {biblio+metier}
10210;João Bernardo;acceptée;oui;Q47468517;João Bernardo;1946;;PT;pt;biblio+metier;Q47468517 {biblio+metier} | Q59174930
